,sensor_id,time,incoming,outgoing,range,date,hour,minute,total,location_name
66,52,2021-06-17 09:21:07.225494+00:00,1,0,1min,2021-06-17,9,21,1,reitan_7eleven_carlberner
67,52,2021-06-17 09:24:32.633573+00:00,0,1,1min,2021-06-17,9,24,1,reitan_7eleven_carlberner
68,52,2021-06-17 09:25:39.028973+00:00,1,1,1min,2021-06-17,9,25,2,reitan_7eleven_carlberner
69,52,2021-06-17 09:27:21.754122+00:00,1,0,1min,2021-06-17,9,27,1,reitan_7eleven_carlberner
70,52,2021-06-17 09:28:13.137236+00:00,0,1,1min,2021-06-17,9,28,1,reitan_7eleven_carlberner
71,52,2021-06-17 09:31:32.560051+00:00,0,1,1min,2021-06-17,9,31,1,reitan_7eleven_carlberner
72,52,2021-06-17 09:33:30.303958+00:00,1,0,1min,2021-06-17,9,33,1,reitan_7eleven_carlberner
73,52,2021-06-17 09:36:40.533477+00:00,0,1,1min,2021-06-17,9,36,1,reitan_7eleven_carlberner
74,52,2021-06-17 09:36:52.617092+00:00,0,1,1min,2021-06-17,9,36,1,reitan_7eleven_carlberner
75,52,2021-06-17 09:37:46.924076+00:00,1,0,1min,2021-06-17,9,37,1,reitan_7eleven_carlberner
76,52,2021-06-17 09:39:14.486009+00:00,0,1,1min,2021-06-17,9,39,1,reitan_7eleven_carlberner
77,52,2021-06-17 09:40:26.956265+00:00,1,0,1min,2021-06-17,9,40,1,reitan_7eleven_carlberner
78,52,2021-06-17 09:41:51.577223+00:00,0,1,1min,2021-06-17,9,41,1,reitan_7eleven_carlberner
79,52,2021-06-17 09:44:16.596412+00:00,0,1,1min,2021-06-17,9,44,1,reitan_7eleven_carlberner
80,52,2021-06-17 09:45:50.214850+00:00,0,1,1min,2021-06-17,9,45,1,reitan_7eleven_carlberner
81,52,2021-06-17 09:47:23.665783+00:00,1,0,1min,2021-06-17,9,47,1,reitan_7eleven_carlberner
82,52,2021-06-17 09:48:30.082747+00:00,0,1,1min,2021-06-17,9,48,1,reitan_7eleven_carlberner
83,52,2021-06-17 09:49:12.322017+00:00,0,2,1min,2021-06-17,9,49,2,reitan_7eleven_carlberner
84,52,2021-06-17 09:50:03.650223+00:00,1,1,1min,2021-06-17,9,50,2,reitan_7eleven_carlberner
85,52,2021-06-17 09:50:24.768015+00:00,0,1,1min,2021-06-17,9,50,1,reitan_7eleven_carlberner
86,52,2021-06-17 09:51:34.259665+00:00,1,0,1min,2021-06-17,9,51,1,reitan_7eleven_carlberner
87,52,2021-06-17 09:52:19.573910+00:00,1,0,1min,2021-06-17,9,52,1,reitan_7eleven_carlberner
88,52,2021-06-17 09:52:55.776261+00:00,0,1,1min,2021-06-17,9,52,1,reitan_7eleven_carlberner
89,52,2021-06-17 09:54:17.310015+00:00,0,1,1min,2021-06-17,9,54,1,reitan_7eleven_carlberner
90,52,2021-06-17 09:55:14.677748+00:00,1,0,1min,2021-06-17,9,55,1,reitan_7eleven_carlberner
91,52,2021-06-17 09:56:09.061621+00:00,0,1,1min,2021-06-17,9,56,1,reitan_7eleven_carlberner
92,52,2021-06-17 09:56:36.260505+00:00,1,2,1min,2021-06-17,9,56,3,reitan_7eleven_carlberner
93,52,2021-06-17 10:02:20.709555+00:00,0,1,1min,2021-06-17,10,2,1,reitan_7eleven_carlberner
94,52,2021-06-17 10:02:38.798959+00:00,1,0,1min,2021-06-17,10,2,1,reitan_7eleven_carlberner
95,52,2021-06-17 10:03:05.999412+00:00,0,1,1min,2021-06-17,10,3,1,reitan_7eleven_carlberner
96,52,2021-06-17 10:03:48.307379+00:00,1,0,1min,2021-06-17,10,3,1,reitan_7eleven_carlberner
97,52,2021-06-17 10:03:54.367550+00:00,0,1,1min,2021-06-17,10,3,1,reitan_7eleven_carlberner
98,52,2021-06-17 10:05:46.054536+00:00,1,2,1min,2021-06-17,10,5,3,reitan_7eleven_carlberner
99,52,2021-06-17 10:06:07.148232+00:00,1,1,1min,2021-06-17,10,6,2,reitan_7eleven_carlberner
100,52,2021-06-17 10:07:07.595150+00:00,0,1,1min,2021-06-17,10,7,1,reitan_7eleven_carlberner
101,52,2021-06-17 10:07:22.683764+00:00,1,0,1min,2021-06-17,10,7,1,reitan_7eleven_carlberner
102,52,2021-06-17 10:07:25.700895+00:00,1,0,1min,2021-06-17,10,7,1,reitan_7eleven_carlberner
103,52,2021-06-17 10:08:23.061507+00:00,1,0,1min,2021-06-17,10,8,1,reitan_7eleven_carlberner
104,52,2021-06-17 10:09:41.555504+00:00,0,1,1min,2021-06-17,10,9,1,reitan_7eleven_carlberner
105,52,2021-06-17 10:11:09.060746+00:00,1,2,1min,2021-06-17,10,11,3,reitan_7eleven_carlberner
106,52,2021-06-17 10:12:12.422761+00:00,1,0,1min,2021-06-17,10,12,1,reitan_7eleven_carlberner
107,52,2021-06-17 10:13:24.767387+00:00,1,0,1min,2021-06-17,10,13,1,reitan_7eleven_carlberner
108,52,2021-06-17 10:14:25.157179+00:00,0,1,1min,2021-06-17,10,14,1,reitan_7eleven_carlberner
109,52,2021-06-17 10:15:19.516833+00:00,0,2,1min,2021-06-17,10,15,2,reitan_7eleven_carlberner
110,52,2021-06-17 10:16:13.815995+00:00,0,1,1min,2021-06-17,10,16,1,reitan_7eleven_carlberner
111,52,2021-06-17 10:18:50.962173+00:00,1,0,1min,2021-06-17,10,18,1,reitan_7eleven_carlberner
112,52,2021-06-17 10:24:56.428980+00:00,0,2,1min,2021-06-17,10,24,2,reitan_7eleven_carlberner
113,52,2021-06-17 10:25:20.540120+00:00,1,0,1min,2021-06-17,10,25,1,reitan_7eleven_carlberner
114,52,2021-06-17 10:27:00.175890+00:00,0,2,1min,2021-06-17,10,27,2,reitan_7eleven_carlberner
115,52,2021-06-17 10:28:33.714210+00:00,1,0,1min,2021-06-17,10,28,1,reitan_7eleven_carlberner
116,52,2021-06-17 10:30:40.490898+00:00,1,0,1min,2021-06-17,10,30,1,reitan_7eleven_carlberner
117,52,2021-06-17 10:31:43.886933+00:00,0,1,1min,2021-06-17,10,31,1,reitan_7eleven_carlberner
118,52,2021-06-17 10:32:20.115578+00:00,1,1,1min,2021-06-17,10,32,2,reitan_7eleven_carlberner
119,52,2021-06-17 10:38:43.535393+00:00,0,1,1min,2021-06-17,10,38,1,reitan_7eleven_carlberner
120,52,2021-06-17 10:39:07.665560+00:00,0,1,1min,2021-06-17,10,39,1,reitan_7eleven_carlberner
121,52,2021-06-17 10:39:40.876798+00:00,1,1,1min,2021-06-17,10,39,2,reitan_7eleven_carlberner
122,52,2021-06-17 10:40:41.284276+00:00,1,0,1min,2021-06-17,10,40,1,reitan_7eleven_carlberner
123,52,2021-06-17 10:40:59.414659+00:00,0,1,1min,2021-06-17,10,40,1,reitan_7eleven_carlberner
124,52,2021-06-17 10:41:38.607008+00:00,0,1,1min,2021-06-17,10,41,1,reitan_7eleven_carlberner
125,52,2021-06-17 10:42:29.956287+00:00,1,1,1min,2021-06-17,10,42,2,reitan_7eleven_carlberner
126,52,2021-06-17 10:43:12.149041+00:00,1,1,1min,2021-06-17,10,43,2,reitan_7eleven_carlberner
127,52,2021-06-17 10:44:06.419910+00:00,1,0,1min,2021-06-17,10,44,1,reitan_7eleven_carlberner
128,52,2021-06-17 10:46:04.225349+00:00,0,1,1min,2021-06-17,10,46,1,reitan_7eleven_carlberner
129,52,2021-06-17 10:47:28.843073+00:00,1,0,1min,2021-06-17,10,47,1,reitan_7eleven_carlberner
130,52,2021-06-17 10:48:47.402899+00:00,0,1,1min,2021-06-17,10,48,1,reitan_7eleven_carlberner
131,52,2021-06-17 10:49:11.542199+00:00,1,0,1min,2021-06-17,10,49,1,reitan_7eleven_carlberner
132,52,2021-06-17 10:49:53.875768+00:00,0,1,1min,2021-06-17,10,49,1,reitan_7eleven_carlberner
133,52,2021-06-17 10:50:36.136606+00:00,1,1,1min,2021-06-17,10,50,2,reitan_7eleven_carlberner
134,52,2021-06-17 10:52:40.001713+00:00,0,1,1min,2021-06-17,10,52,1,reitan_7eleven_carlberner
135,52,2021-06-17 10:53:19.169043+00:00,0,1,1min,2021-06-17,10,53,1,reitan_7eleven_carlberner
136,52,2021-06-17 10:54:07.473615+00:00,1,0,1min,2021-06-17,10,54,1,reitan_7eleven_carlberner
137,52,2021-06-17 10:54:25.566425+00:00,0,1,1min,2021-06-17,10,54,1,reitan_7eleven_carlberner
138,52,2021-06-17 10:55:22.919912+00:00,1,0,1min,2021-06-17,10,55,1,reitan_7eleven_carlberner
139,52,2021-06-17 10:55:37.968778+00:00,1,0,1min,2021-06-17,10,55,1,reitan_7eleven_carlberner
140,52,2021-06-17 10:55:50.039147+00:00,0,1,1min,2021-06-17,10,55,1,reitan_7eleven_carlberner
141,52,2021-06-17 10:56:29.233760+00:00,0,2,1min,2021-06-17,10,56,2,reitan_7eleven_carlberner
142,52,2021-06-17 10:57:08.554291+00:00,1,0,1min,2021-06-17,10,57,1,reitan_7eleven_carlberner
143,52,2021-06-17 10:57:59.813818+00:00,1,0,1min,2021-06-17,10,57,1,reitan_7eleven_carlberner
144,52,2021-06-17 10:59:00.158879+00:00,0,1,1min,2021-06-17,10,59,1,reitan_7eleven_carlberner
145,52,2021-06-17 11:00:45.819770+00:00,1,1,1min,2021-06-17,11,0,2,reitan_7eleven_carlberner
146,52,2021-06-17 11:01:25.022227+00:00,1,0,1min,2021-06-17,11,1,1,reitan_7eleven_carlberner
147,52,2021-06-17 11:02:01.275521+00:00,0,1,1min,2021-06-17,11,2,1,reitan_7eleven_carlberner
148,52,2021-06-17 11:08:54.890694+00:00,0,1,1min,2021-06-17,11,8,1,reitan_7eleven_carlberner
149,52,2021-06-17 11:10:07.393357+00:00,1,0,1min,2021-06-17,11,10,1,reitan_7eleven_carlberner
150,52,2021-06-17 11:11:35.022631+00:00,0,1,1min,2021-06-17,11,11,1,reitan_7eleven_carlberner
151,52,2021-06-17 11:11:38.030356+00:00,0,1,1min,2021-06-17,11,11,1,reitan_7eleven_carlberner
152,52,2021-06-17 11:11:56.164405+00:00,1,0,1min,2021-06-17,11,11,1,reitan_7eleven_carlberner
153,52,2021-06-17 11:14:24.165638+00:00,0,1,1min,2021-06-17,11,14,1,reitan_7eleven_carlberner
154,52,2021-06-17 11:15:09.511864+00:00,1,0,1min,2021-06-17,11,15,1,reitan_7eleven_carlberner
155,52,2021-06-17 11:15:51.806701+00:00,0,1,1min,2021-06-17,11,15,1,reitan_7eleven_carlberner
156,52,2021-06-17 11:16:28.034096+00:00,0,1,1min,2021-06-17,11,16,1,reitan_7eleven_carlberner
157,52,2021-06-17 11:18:10.841475+00:00,1,0,1min,2021-06-17,11,18,1,reitan_7eleven_carlberner
158,52,2021-06-17 11:19:08.179634+00:00,0,1,1min,2021-06-17,11,19,1,reitan_7eleven_carlberner
159,52,2021-06-17 11:19:38.348318+00:00,1,0,1min,2021-06-17,11,19,1,reitan_7eleven_carlberner
160,52,2021-06-17 11:21:08.884798+00:00,1,0,1min,2021-06-17,11,21,1,reitan_7eleven_carlberner
161,52,2021-06-17 11:22:57.618721+00:00,0,1,1min,2021-06-17,11,22,1,reitan_7eleven_carlberner
162,52,2021-06-17 11:23:39.955253+00:00,1,0,1min,2021-06-17,11,23,1,reitan_7eleven_carlberner
163,52,2021-06-17 11:25:49.731666+00:00,0,1,1min,2021-06-17,11,25,1,reitan_7eleven_carlberner
164,52,2021-06-17 11:27:17.370734+00:00,1,0,1min,2021-06-17,11,27,1,reitan_7eleven_carlberner
165,52,2021-06-17 11:29:30.200335+00:00,0,1,1min,2021-06-17,11,29,1,reitan_7eleven_carlberner
166,52,2021-06-17 11:32:04.173251+00:00,0,1,1min,2021-06-17,11,32,1,reitan_7eleven_carlberner
167,52,2021-06-17 11:33:19.626044+00:00,1,0,1min,2021-06-17,11,33,1,reitan_7eleven_carlberner
168,52,2021-06-17 11:34:38.102240+00:00,0,1,1min,2021-06-17,11,34,1,reitan_7eleven_carlberner
169,52,2021-06-17 11:35:29.431649+00:00,0,1,1min,2021-06-17,11,35,1,reitan_7eleven_carlberner
170,52,2021-06-17 11:35:44.548632+00:00,1,1,1min,2021-06-17,11,35,2,reitan_7eleven_carlberner
171,52,2021-06-17 11:35:59.667449+00:00,0,1,1min,2021-06-17,11,35,1,reitan_7eleven_carlberner
172,52,2021-06-17 11:36:32.845620+00:00,1,0,1min,2021-06-17,11,36,1,reitan_7eleven_carlberner
173,52,2021-06-17 11:38:51.688835+00:00,1,0,1min,2021-06-17,11,38,1,reitan_7eleven_carlberner
174,52,2021-06-17 11:39:30.868675+00:00,0,1,1min,2021-06-17,11,39,1,reitan_7eleven_carlberner
175,52,2021-06-17 11:40:40.395130+00:00,1,1,1min,2021-06-17,11,40,2,reitan_7eleven_carlberner
176,52,2021-06-17 11:44:56.977572+00:00,0,1,1min,2021-06-17,11,44,1,reitan_7eleven_carlberner
177,52,2021-06-17 11:45:45.351372+00:00,1,2,1min,2021-06-17,11,45,3,reitan_7eleven_carlberner
178,52,2021-06-17 11:46:06.474994+00:00,1,0,1min,2021-06-17,11,46,1,reitan_7eleven_carlberner
179,52,2021-06-17 11:47:21.901322+00:00,0,1,1min,2021-06-17,11,47,1,reitan_7eleven_carlberner
180,52,2021-06-17 11:48:34.410363+00:00,0,1,1min,2021-06-17,11,48,1,reitan_7eleven_carlberner
181,52,2021-06-17 11:49:01.575609+00:00,1,1,1min,2021-06-17,11,49,2,reitan_7eleven_carlberner
182,52,2021-06-17 11:49:28.721421+00:00,1,1,1min,2021-06-17,11,49,2,reitan_7eleven_carlberner
183,52,2021-06-17 11:50:56.339148+00:00,1,1,1min,2021-06-17,11,50,2,reitan_7eleven_carlberner
184,52,2021-06-17 11:51:26.524448+00:00,0,1,1min,2021-06-17,11,51,1,reitan_7eleven_carlberner
185,52,2021-06-17 11:55:28.186472+00:00,0,1,1min,2021-06-17,11,55,1,reitan_7eleven_carlberner
186,52,2021-06-17 11:55:55.372886+00:00,1,0,1min,2021-06-17,11,55,1,reitan_7eleven_carlberner
187,52,2021-06-17 11:58:17.328561+00:00,1,1,1min,2021-06-17,11,58,2,reitan_7eleven_carlberner
