Player Id,Tackles,wontackles,duels,wonduels,passes,wonpasses,interception,Last_Name,First_Name
11883,5,0.6,15,0.6,81,0.87654321,2,Tate,Alan
11911,23,0.739130435,185,0.513513514,1477,0.821259309,52,Gary Caldwell,0
12002,23,0.739130435,166,0.445783133,1445,0.766782007,24,Downing,Stewart
12150,56,0.482142857,222,0.459459459,1276,0.771159875,46,Whelan,Glenn
12297,20,0.65,350,0.362857143,1236,0.694983819,10,van Persie,Robin
12303,15,0.666666667,219,0.388127854,427,0.585480094,9,Drogba,Didier
12413,67,0.776119403,240,0.633333333,578,0.724913495,68,Huth,Robert
12443,21,0.952380952,70,0.571428571,427,0.681498829,21,Orr,Bradley
12450,14,0.5,59,0.525423729,435,0.894252874,11,Kolo Tour�,0
12674,15,0.6,53,0.603773585,207,0.685990338,9,Hall,Fitz
12679,7,0.857142857,44,0.727272727,289,0.861591696,15,Dawson,Michael
12745,57,0.719298246,229,0.537117904,1581,0.690702087,65,Baines,Leighton
12765,60,0.833333333,276,0.485507246,721,0.751733703,31,Thomas,Jerome
12780,1,0,4,1,44,0.75,3,Mears,Tyrone
12813,36,0.694444444,412,0.424757282,1003,0.639082752,18,Walters,Jonathan
12882,41,0.707317073,117,0.632478632,505,0.861386139,21,Park Ji-Sung,0
13017,22,0.772727273,300,0.386666667,1763,0.789563244,15,Rooney,Wayne
13227,9,0.777777778,73,0.315068493,364,0.711538462,7,Arshavin,Andrey
13239,14,0.857142857,193,0.32642487,555,0.697297297,14,Yakubu,0
13308,17,0.647058824,68,0.426470588,401,0.89276808,13,Maxi Rodr�guez,0
13310,81,0.679012346,287,0.592334495,1321,0.706283119,103,Warnock,Stephen
13524,2,1,2,1,9,0.888888889,1,Grella,Vincenzo
13594,16,0.625,103,0.40776699,412,0.803398058,20,Benayoun,Yossi
13898,47,0.765957447,205,0.575609756,806,0.705955335,55,Ferdinand,Anton
14075,104,0.769230769,411,0.591240876,1696,0.829009434,51,Evra,Patrice
14166,3,0.666666667,56,0.339285714,105,0.742857143,6,Lita,Leroy
14278,35,0.742857143,96,0.645833333,462,0.703463203,14,Ridgewell,Liam
14279,10,0.7,184,0.364130435,392,0.704081633,6,Fortun�,Marc-Antoine
14295,11,0.545454545,38,0.447368421,479,0.897703549,9,Fletcher,Darren
14402,35,0.914285714,341,0.384164223,603,0.713101161,9,Torres,Fernando
14469,10,0.5,50,0.42,187,0.737967914,5,Crusat,Albert
14489,1,1,12,0.25,29,0.655172414,0,Pugh,Danny
14664,55,0.818181818,259,0.536679537,2441,0.897582958,39,Yaya Tour�,0
14668,86,0.73255814,324,0.490740741,1684,0.833729216,81,Reo-Coker,Nigel
14775,41,0.756097561,157,0.464968153,1111,0.720072007,43,Ryan Taylor,0
14898,32,0.78125,138,0.449275362,484,0.770661157,19,Crofts,Andrew
14919,9,0.888888889,53,0.58490566,206,0.766990291,22,Kilgallon,Matthew
14947,19,0.947368421,49,0.469387755,566,0.832155477,17,Foley,Kevin
14965,6,0.833333333,37,0.756756757,250,0.82,14,Vidic,Nemanja
15073,43,0.813953488,174,0.477011494,976,0.716188525,54,Richardson,Kieran
15076,36,0.722222222,83,0.722891566,897,0.921962096,37,de Jong,Nigel
15109,2,1,6,0.5,39,0.794871795,1,Huddlestone,Tom
15114,62,0.629032258,214,0.598130841,2261,0.933215391,59,Britton,Leon
15157,41,0.780487805,156,0.461538462,1066,0.795497186,35,Milner,James
15188,41,0.658536585,147,0.476190476,471,0.762208068,25,Pratley,Darren
15201,20,0.65,111,0.675675676,298,0.691275168,18,Barnett,Leon
15237,31,0.677419355,125,0.416,985,0.781725888,27,Surman,Andrew
15276,94,0.70212766,370,0.510810811,1838,0.695321001,59,Barton,Joey
15284,53,0.773584906,247,0.655870445,1818,0.842134213,79,Hangeland,Brede
15395,9,0.666666667,54,0.555555556,151,0.649006623,4,Tuncay,0
15398,13,0.846153846,186,0.35483871,604,0.759933775,19,Graham,Danny
15405,70,0.742857143,245,0.604081633,966,0.694616977,56,Hutton,Alan
15428,12,0.583333333,87,0.413793103,201,0.825870647,2,Moore,Luke
15498,17,0.529411765,59,0.745762712,306,0.790849673,9,Gohouri,Steve
15675,6,0.833333333,41,0.634146341,81,0.716049383,1,Chamakh,Marouane
15864,43,0.744186047,157,0.579617834,634,0.776025237,48,Turner,Michael
15943,47,0.829787234,216,0.606481481,1471,0.851121686,67,Vermaelen,Thomas
15944,25,0.72,177,0.299435028,486,0.652263374,16,Kightly,Michael
15968,26,0.769230769,88,0.568181818,649,0.796610169,43,Baird,Chris
16005,10,0.7,202,0.49009901,323,0.721362229,1,Best,Leon
16045,35,0.8,126,0.452380952,997,0.812437312,36,Watson,Ben
16058,66,0.772727273,327,0.44648318,1521,0.650887574,94,Pedersen,Morten Gamst
16210,36,0.75,171,0.485380117,692,0.832369942,32,Scharner,Paul
